model,split,pr_auc_average_precision,roc_auc,accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,training_time_sec,base_model,best_params,best_cv_pr_auc
logistic_regression_tuned,test,0.9849065648876475,0.993658873263739,0.9645833333333333,0.9548572168061427,0.9398496240601504,0.9328358208955224,0.9363295880149812,0.3134002500009956,logistic_regression,"{'C': 1.0, 'class_weight': None, 'penalty': 'l1'}",0.9819951008863436
svc_tuned,test,0.9843929672564959,0.9936373048054525,0.9520833333333333,0.9576179794668278,0.87248322147651,0.9701492537313433,0.9187279151943463,0.8199340840001241,svc,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.9821270667255805
