rank,model,selection_basis,pr_auc_average_precision,pr_auc_average_precision_std,roc_auc,roc_auc_std,balanced_accuracy,balanced_accuracy_std,precision_positive,precision_positive_std,recall_positive,recall_positive_std,f1_positive,f1_positive_std,training_time_sec,mean_fit_time_sec
1,logistic_regression,train_stratified_cv,0.9816060225127804,0.0027868364102609016,0.9921191193873099,0.0010452836720065656,0.9516449961584996,0.004052500569688387,0.8774643097041892,0.01690173080726999,0.9553900268984069,0.00011704643595059744,0.914686005518638,0.009144602901682477,1.2627156250000553,0.005960623423258464
2,svc,train_stratified_cv,0.9695551538675411,0.0008548924150321993,0.9867130515825769,9.304932529132943e-05,0.9325241750306702,0.008613249390876184,0.8760890367869113,0.03698592177490266,0.9164080281398718,0.020626840058897773,0.8950262611279561,0.015655784362350163,1.0858505409996724,0.017606655756632488
3,mlp_classifier,train_stratified_cv,0.9542983931588482,0.009721983648638952,0.9796676521519009,0.004911917520365638,0.888624363853626,0.02281894183170658,0.904587050740897,0.0011012707935031299,0.8105317608110904,0.04761295402931491,0.8542208617755783,0.026800705772317076,0.07394241700058046,0.0561676820119222
4,knn,train_stratified_cv,0.879403760162865,0.018318505841555806,0.9325398053303452,0.013379848230205903,0.7218774409422597,0.02721282215195821,0.9753493216761582,0.003092822411395007,0.44809642044278913,0.0544212612581886,0.6121698713539762,0.052981366884712056,1.014944459000617,0.0010546048482259114
5,decision_tree,train_stratified_cv,0.7673538280349591,0.005248461764944466,0.8934831669518983,0.006585580846510675,0.8059610587121115,0.008398498600467224,0.6253469505529567,0.01676177733340555,0.7993171942892614,0.039402481410428083,0.7007244971453591,0.0043011275682088655,0.07609891700121807,0.00679469108581543
6,gaussian_nb,train_stratified_cv,0.6967645798658917,0.05699913810398526,0.8504628271673694,0.014601930828155559,0.7512246733046343,0.007984063590582338,0.6556404012355882,0.021415838784869464,0.631967721911856,0.004662523142945721,0.6434811291293664,0.012780465769730085,0.9939319579989387,0.0015723705291748047
