threshold,precision_positive,recall_positive,f1_positive,balanced_accuracy
0.05,0.2791666666666667,1.0,0.4364820846905538,0.5
0.1,0.67,1.0,0.8023952095808383,0.9046242774566474
0.15,0.76,0.9925373134328358,0.86084142394822,0.9355750150979207
0.2,0.8159509202453987,0.9925373134328358,0.8956228956228957,0.9529160555603485
0.25,0.825,0.9850746268656716,0.8979591836734694,0.952074885687171
0.3,0.8562091503267973,0.9776119402985075,0.9128919860627178,0.9570140626348029
0.35,0.8733333333333333,0.9776119402985075,0.9225352112676056,0.9613493227504099
0.39999999999999997,0.8775510204081632,0.9626865671641791,0.9181494661921709,0.9553317228884479
0.44999999999999996,0.8835616438356164,0.9626865671641791,0.9214285714285714,0.9567768095936502
0.49999999999999994,0.8896551724137931,0.9626865671641791,0.9247311827956989,0.9582218962988526
0.5499999999999999,0.8896551724137931,0.9626865671641791,0.9247311827956989,0.9582218962988526
0.6,0.8951048951048951,0.9552238805970149,0.924187725631769,0.9559356397204728
0.65,0.9064748201438849,0.9402985074626866,0.9230769230769231,0.9513631265637132
0.7,0.9253731343283582,0.9253731343283582,0.9253731343283582,0.948235700112156
0.75,0.9453125,0.9029850746268657,0.9236641221374046,0.9413769303770168
0.7999999999999999,0.9444444444444444,0.8880597014925373,0.9153846153846154,0.9339142438098524
0.85,0.9596774193548387,0.8880597014925373,0.9224806201550387,0.9368044172202571
0.9,0.9745762711864406,0.8582089552238806,0.9126984126984127,0.9247692174963333
0.95,0.9902912621359223,0.7611940298507462,0.8607594936708861,0.8791519282201707
