rank,model,model_family,ensemble_strategy,split,pr_auc_average_precision,roc_auc,accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,training_time_sec,best_cv_pr_auc,best_params
1,stacking_heterogeneous,ensemble,heterogeneous_stacking,test,0.9858213597549766,0.9941118108877578,0.95625,0.9582218962988526,0.8896551724137931,0.9626865671641791,0.9247311827956989,1.6913667919870932,0.9824802190109434,"{'final_estimator__C': 0.1, 'passthrough': False}"
2,individual_svc_tuned,individual_phase_4,not_ensemble,test,0.9843929672564959,0.9936373048054524,0.9520833333333333,0.9576179794668278,0.87248322147651,0.9701492537313433,0.9187279151943463,0.0908712079981342,,{}
3,voting_heterogeneous,ensemble,heterogeneous_voting,test,0.9825419499529222,0.9931412302648607,0.9645833333333333,0.9571434733845225,0.9333333333333333,0.9402985074626866,0.9368029739776952,0.3583128750033211,0.9820903636076183,"{'weights': [2, 4, 1, 1]}"
4,gradient_boosting,ensemble,homogeneous_boosting,test,0.9379761910338577,0.9749374514709689,0.8979166666666667,0.8423130014666551,0.897196261682243,0.7164179104477612,0.7966804979253111,1.9584592090104707,0.9687163974200338,"{'learning_rate': 0.08, 'max_depth': 2, 'n_estimators': 160}"
5,extra_trees,ensemble,homogeneous_bagging,test,0.9216938227103519,0.9684453455267017,0.875,0.7875506858769735,0.9404761904761905,0.5895522388059702,0.7247706422018348,1.0888868749898393,0.9240394772977254,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 250}"
6,random_forest,ensemble,homogeneous_bagging,test,0.9109010330363553,0.9619101026658614,0.8666666666666667,0.7726253127426451,0.9375,0.5597014925373134,0.7009345794392523,4.316907125001308,0.9315524644289847,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 250}"
7,ada_boost,ensemble,homogeneous_boosting,test,0.8779051219298755,0.9461112069709257,0.81875,0.6799456474851178,0.9607843137254902,0.3656716417910448,0.5297297297297298,0.7385650829819497,0.8955790097441684,"{'learning_rate': 0.1, 'n_estimators': 140}"
